gene,raw_identifier,n_masked,neural_r,knn_r,delta_r,neural_mse,knn_mse,delta_mse
TRA2B,TRA2B,103,0.8385996,0.92867756,-0.09007794,0.29239875078201294,0.16433104872703552,-0.12806770205497742
KLRC2,KLRC2,99,0.8521191,0.9422705,-0.09015143,0.3760140836238861,0.15485596656799316,-0.22115811705589294
NCOA2,NCOA2,95,0.8694625,0.95963687,-0.09017438,0.41881969571113586,0.13436482846736908,-0.2844548672437668
HIST4H4,HIST4H4,111,0.80302674,0.8932105,-0.090183735,0.31551095843315125,0.19496029615402222,-0.12055066227912903
ETV5,ETV5,124,0.82637864,0.91663426,-0.09025562,0.23319275677204132,0.11457102000713348,-0.11862173676490784
MIR4755,MIR4755,110,0.77715904,0.86743706,-0.09027803,0.44404837489128113,0.23681849241256714,-0.207229882478714
SLC50A1,SLC50A1,111,0.8088297,0.8991623,-0.09033257,0.46660274267196655,0.26833009719848633,-0.19827264547348022
DCST1,DCST1,104,0.69864744,0.7891305,-0.09048307,1.3169159889221191,1.0634973049163818,-0.2534186840057373
PARP11,PARP11,104,0.8241808,0.9147435,-0.0905627,0.47336211800575256,0.24917633831501007,-0.2241857796907425
U3,U3|ENSG00000207215.1,110,0.8308287,0.9214106,-0.090581894,0.3162603974342346,0.16727212071418762,-0.148988276720047
SNORD112,SNORD112|ENSG00000238966.1,95,0.5542729,0.6450227,-0.0907498,0.4375658631324768,0.3698365390300751,-0.06772932410240173
DLG1,DLG1,101,0.8370765,0.927853,-0.0907765,0.24758359789848328,0.11337367445230484,-0.13420992344617844
PTK6,PTK6,95,0.8264046,0.91719556,-0.09079099,0.2640410363674164,0.12936998903751373,-0.13467104732990265
SMCP,SMCP,89,0.8438163,0.9346394,-0.090823114,0.2910623848438263,0.14428281784057617,-0.14677956700325012
XKR9,XKR9,95,0.8000918,0.8909402,-0.09084839,0.3269810080528259,0.18733400106430054,-0.1396470069885254
LRP12,LRP12,111,0.7739518,0.8648607,-0.090908885,0.2795507609844208,0.17884139716625214,-0.10070936381816864
TSTD1,TSTD1,122,0.8465887,0.9375645,-0.09097582,0.2305193543434143,0.10936366021633148,-0.12115569412708282
COPA,COPA,104,0.7026353,0.7939345,-0.091299236,1.6425703763961792,1.3271406888961792,-0.3154296875
ABRA,ABRA,101,0.84806603,0.9393725,-0.09130645,0.3091738224029541,0.14013434946537018,-0.16903947293758392
WIPF2,WIPF2,108,0.48576435,0.5771046,-0.09134027,0.3148554563522339,0.26792824268341064,-0.04692721366882324
