Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Defense Response To Fungus (GO:0050832),0.3386747911814162,1.0679804910260347,0.368836291913215,1.0,1.0,8/15,27.54%,CLEC4E;CLEC6A;DEFB119;GAPDH;CLEC4C;CLEC7A;CLEC4D;S100A9
prerank,Regulation Of Signal Transduction (GO:0009966),0.31042080615614487,1.0665044528349612,0.33608247422680415,1.0,1.0,5/21,13.04%,NCOA5;ZIC1;POFUT1;ADIPOQ;DOK5
prerank,Histone Modification (GO:0016570),0.35675825464264266,1.0659870797553865,0.3723196881091618,1.0,1.0,5/13,19.39%,TBL1XR1;VPS72;YEATS4;PHF20L1;ACTL6A
prerank,Defense Response To Gram-positive Bacterium (GO:0050830),-0.29799038598824884,-1.0652496097992816,0.33911368015414256,0.7144302900177598,1.0,10/25,23.12%,DEFB4A;LYZ;DEFB103A;DEFB104A;DEFB106A;DEFB107A;ROMO1;DEFA5;DEFA1;DEFB135
prerank,Protein Modification Process (GO:0036211),-0.2241404016172015,-1.065219280499229,0.3308550185873606,0.7111560453570298,1.0,20/88,15.70%,JAK2;CCNE1;PAK1;IKBKB;PTPRD;GAS6;PTPRB;AQP11;MACROD2;CDK6;MAP4K1;PTPN1;FUT10;RARA;GMFG;MSRA;AKT2;STK4;PTPRR;CDK4
prerank,Monoatomic Ion Transport (GO:0006811),-0.3233316995688821,-1.0651254878464664,0.3638095238095238,0.7080690436725539,1.0,4/19,7.05%,SLC20A2;TRPC6;AQP11;SLC12A7
prerank,Intracellular Monoatomic Cation Homeostasis (GO:0030003),0.2985151946811726,1.0634577038981858,0.35084033613445376,1.0,1.0,10/22,28.98%,EDN3;ATP13A5;ATP13A4;ATP1A4;CP;ATP2B4;ATP1B1;ATP13A3;CLDN16;TRPA1
prerank,Protein Localization (GO:0008104),0.24719152925770968,1.0632549261010849,0.31670281995661603,1.0,1.0,13/44,19.03%,SNX31;RTP2;AKAP3;ANGPT1;RTP1;TSNARE1;ARL14;TM9SF4;PEX5;SNX27;RAB22A;RTP4;PEX5L
prerank,Peptide Biosynthetic Process (GO:0043043),-0.297391390950843,-1.0613796187652567,0.3775700934579439,0.7135510199978498,1.0,6/23,15.10%,RPS21;GGT7;MRPS12;RPL19;MRPL36;RPL37
prerank,Negative Regulation Of Gene Expression (GO:0010629),-0.2595886934793811,-1.060581965496787,0.356,0.712220774214864,1.0,9/43,10.94%,SFRP1;IFNG;FGF19;GPNMB;ZNF540;YAP1;GRB7;CPNE1;TDRD12
