Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Rap1 signaling pathway,-0.13012634900960912,-0.969594421485823,0.4393939393939394,0.7829149989401364,0.999,28/34,64.47%,PDGFRA;SIPA1L3;EGFR;RAP1B;FGF19;FGF3;RAPGEF5;MET;KRIT1;AKT2;FGF10;GNAS;EFNA3;FGFR1;ADCY2;FGF4;KRAS;ID1;SRC;PARD6B;FGF23;FGF6;PRKCI;ADCY8;EFNA4;LPAR5;P2RY1;PLCG1
prerank,Cytosolic DNA-sensing pathway,0.27544245023852554,0.9670306945367187,0.4895977808599168,1.0,1.0,8/10,57.42%,ADAR;POLR3C;POLR2K;NFKBIB;POLR2H;POLR3GL;AIM2;ZBP1
prerank,Chronic myeloid leukemia,-0.18842034805890226,-0.966925013054181,0.5091743119266054,0.7713561157924013,0.999,18/18,81.30%,GAB2;CCND1;CDK4;E2F3;IKBKB;CDKN2A;CDK6;AKT2;MDM2;CDKN1B;MECOM;KRAS;MYC;E2F1;BCL2L1;AKT3;PIK3CA;SHC1
prerank,Pancreatic secretion,-0.20528251420929455,-0.9667550888291658,0.4690265486725664,0.7551209716893059,0.999,15/15,79.61%,RAP1B;TPCN2;CPB1;ITPR2;RYR2;GNAS;ADCY2;CPA3;ADCY8;ATP1A2;ATP1B1;CHRM3;CA2;ATP1A4;ATP2B4
prerank,Alzheimer disease,0.1586666878081913,0.965851327310511,0.5027262813522355,1.0,1.0,19/48,32.67%,GAPDH;COX6C;GRIN2B;PSMD2;DVL3;APH1A;NDUFB5;NDUFS2;PSMA7;NDUFB9;FZD6;LRP6;CACNA1C;PIK3CA;CHRM3;RB1CC1;AKT3;PSMB4;UQCRB
prerank,Protein processing in endoplasmic reticulum,0.2377844605146692,0.9605319649913182,0.51171875,1.0,1.0,14/15,72.79%,DERL1;HSPA6;DNAJC5B;UBQLN4;RPN2;TRAM1;SSR2;DNAJB11;SSR3;OS9;EDEM2;ATF6;DNAJC5;SEC62
prerank,Lysosome,-0.19636611860339398,-0.9513405370591143,0.5148936170212766,0.7748124976620655,0.999,13/14,71.62%,AP3M2;LAMP1;CTSS;CTSZ;HGSNAT;M6PR;ATP6V1H;CTSA;CTSB;CTSK;LAMP3;ATP6V0D2;GBA
prerank,Focal adhesion,-0.1448252688172043,-0.9503468849396874,0.49693251533742333,0.76145740531652,0.999,30/30,85.70%,PDGFRA;BIRC2;PAK1;CCND1;BIRC3;EGFR;ACTN4;RAP1B;COL4A2;CCND2;MYLK2;MET;MYL9;AKT2;COL4A1;PAK4;ERBB2;ITGB8;PIP5K1A;ITGA10;SRC;AKT3;COL9A3;PIK3CA;PTK2;VWF;PAK2;SHC1;THBS3;LAMA5
prerank,Ribosome,-0.16816200725920935,-0.9442283317047883,0.520618556701031,0.7605947705083604,0.999,17/19,69.89%,RPL37;RPS21;MRPS17;MRPL36;MRPS12;MRPL21;RPL19;RPL22L1;MRPL15;RPS16;RPL8;RPS20;RPL7;MRPS21;RPL35A;RPS27;MRPL9
prerank,Longevity regulating pathway,-0.19130434782608693,-0.9371197580273889,0.5296610169491526,0.7610686065470965,0.999,16/16,81.00%,PRKAB2;IRS2;RPS6KB1;AKT2;CREB3L4;ADCY2;EIF4EBP1;KRAS;PRKAA1;ADCY8;AKT3;RB1CC1;ADIPOR2;PIK3CA;ADIPOQ;HSPA6
prerank,"Growth hormone synthesis, secretion and action",0.2029790854776585,0.9338597595954689,0.5497572815533981,1.0,1.0,18/20,75.65%,SST;GHSR;SHC1;GHRH;PTK2;CACNA1C;PIK3CA;AKT3;PLCG1;ADCY10;ADCY8;KRAS;ADCY2;GNAS;CREB3L4;GHR;AKT2;ITPR2
prerank,Tight junction,-0.15259756661996882,-0.9311361208012171,0.5157894736842106,0.7594082076603679,0.999,19/23,62.64%,CCND1;CDK4;ACTN4;ARPC1A;PRKAB2;MYL9;CTTN;GATA4;F11R;ERBB2;CGN;SRC;PARD6B;SCRIB;PRKAA1;PRKCI;ARHGEF2;RAB13;CLDN11
prerank,JAK-STAT signaling pathway,-0.1345694084228533,-0.9310562106071245,0.5314685314685315,0.7452364366280387,0.999,18/29,35.16%,PDGFRA;JAK2;IFNG;CCND1;EGFR;IL22;IFNL3;CCND2;IFNL1;PTPN6;CSF3;IFNL2;LIFR;AKT2;IL6;GHR;OSMR;PRLR
prerank,Inositol phosphate metabolism,0.24919022180256561,0.9296654819519873,0.5467032967032966,1.0,1.0,7/12,42.45%,TPI1;PLCH1;PIK3C2B;PIK3CA;PLCG1;PIK3C2G;PI4KB
prerank,Synaptic vesicle cycle,-0.22606833831160517,-0.9248656821619518,0.5437956204379562,0.7427773413633587,0.999,7/10,41.95%,SLC6A3;SLC6A13;SLC1A3;ATP6V1H;SLC6A12;DNM3;AP2M1
prerank,Toxoplasmosis,0.22162243563506562,0.9238646553554486,0.5598455598455598,1.0,1.0,8/16,46.07%,LY96;LAMA5;HSPA6;NFKBIB;AKT3;CD40;BCL2L1;IL12A
prerank,Epithelial cell signaling in Helicobacter pylori infection,-0.21769616026711186,-0.9204912729012152,0.5498154981549815,0.738671305128493,0.999,11/11,78.34%,PAK1;EGFR;IKBKB;MET;F11R;ATP6V1H;LYN;SRC;PLCG1;ATP6V0D2;ATP6V1C1
prerank,Prostate cancer,-0.16661647147807526,-0.9114358606034664,0.5631578947368421,0.7437947881430655,0.999,13/20,36.49%,PDGFRA;CCND1;CCNE1;E2F3;EGFR;IKBKB;PLAT;AKT2;MDM2;CREB3L4;FGFR1;ERBB2;CDKN1B
prerank,Complement and coagulation cascades,-0.1894684052434801,-0.910893525722799,0.5347826086956522,0.7318748560324614,0.999,9/14,38.19%,PROCR;C9;F7;F10;PLAT;C3AR1;C7;C1R;C6
prerank,Sphingolipid signaling pathway,0.24376164379550663,0.9108806710700964,0.5718232044198895,1.0,1.0,7/12,41.58%,KNG1;NSMAF;PIK3CA;AKT3;PLD1;FCER1A;FCER1G
prerank,Circadian entrainment,0.22010856308886,0.8935004943802031,0.589058524173028,1.0,1.0,14/15,73.45%,GRIN2B;NOS1AP;CACNA1C;GNB3;ADCY10;ADCY8;GNB4;KCNJ9;ADCY2;GNAS;RYR2;GNGT1;RYR1;GNG4
prerank,"Parathyroid hormone synthesis, secretion and action",0.20208394526155718,0.8906594567161725,0.5813664596273292,1.0,1.0,15/18,67.96%,MMP16;MAFB;PTHLH;MMP24;LRP6;PLD1;CYP24A1;ADCY8;FGF23;BGLAP;ADCY2;RXRG;FGFR1;GNAS;CREB3L4
prerank,Pathways in cancer,-0.08238673954808526,-0.8815992025484864,0.5454545454545454,0.7759191468119604,1.0,74/84,76.11%,PDGFRA;JAK2;IFNG;BIRC2;CCND1;CDK4;BIRC3;CCNE1;E2F3;CDKN2B;EGFR;FADD;RASGRP4;FGF19;COL4A2;CCND2;IKBKB;FGF3;GNG11;CDKN2A;RPS6KB1;CDK6;MET;TERT;PTGER4;STK4;BIRC7;AKT2;GNG4;IL6;GNGT1;COL4A1;RARA;FGF10;MDM2;DLL3;GNAS;FGFR1;ERBB2;RXRG;ADCY2;FGF4;CDKN1B;MECOM;KRAS;ARNT;CKS1B;WNT5B;MYC;FGF23;RUNX1T1;FGF6;E2F1;GNB4;SKP2;IL12A;ADCY8;MGST3;BCL2L1;LPAR5;PLCG1;TPM3;AGTR1;IL7R;PLD1;GNB3;AKT3;MGST1;TERC;PIK3CA;NCOA3;HES1;PTK2;LRP6
