model,mse_mean,mse_sd,r2_mean,r2_sd,pearson_mean,pearson_sd,mean_best_epoch,parameters,delta_mse_vs_full,delta_r_vs_full
Full_512-128-512,0.5323727846145629,0.003438358111564574,0.4814834237098694,0.0033488682075535066,0.69496834,0.0023909241,9.6,3372193,0.0,0.0
No_Nonlinearity,0.563896656036377,0.004720525905872464,0.4507800340652466,0.004597673687344754,0.6755591,0.0044353306,8.0,3372193,0.03152387142181401,-0.01940924
Shallow_128,0.5355009198188782,0.0026669234438356543,0.4784366965293884,0.00259750106794387,0.69494486,0.0016908093,10.0,812449,0.0031281352043152078,-2.348423e-05
Bottleneck_64,0.5384015083312989,0.0036251530589257925,0.4756116151809692,0.003530792395382289,0.69033366,0.0023045237,10.0,3306593,0.0060287237167359065,-0.0046346784
Bottleneck_256,0.5268205165863037,0.0035795516662441257,0.48689119815826415,0.003486385388061561,0.69860244,0.0025182988,10.0,3503393,-0.005552268028259255,0.0036340952
No_Bottleneck,0.5169581651687623,0.0008125621900173243,0.49649683237075803,0.0007914321730771893,0.7054171,0.00034653716,9.6,3503137,-0.015414619445800692,0.010448754
